source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD033944-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	mm_mw_20190712_C1_n1	proteomic profiling by mass spectrometry	mm_mw_20190712_C1_n1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD033944/mm_mw_20190712_C1_n1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD033944-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	mm_mw_20190712_C1_n5	proteomic profiling by mass spectrometry	mm_mw_20190712_C1_n5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD033944/mm_mw_20190712_C1_n5.raw	1	2	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD033944-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	mm_mw_20190712_C3_n3	proteomic profiling by mass spectrometry	mm_mw_20190712_C3_n3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD033944/mm_mw_20190712_C3_n3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD033944-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	mm_mw_20190712_C3_n4	proteomic profiling by mass spectrometry	mm_mw_20190712_C3_n4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD033944/mm_mw_20190712_C3_n4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD033944-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	mm_mw_20190712_C1_n2	proteomic profiling by mass spectrometry	mm_mw_20190712_C1_n2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD033944/mm_mw_20190712_C1_n2.raw	1	5	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD033944-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	mm_mw_20190712_C1_n3	proteomic profiling by mass spectrometry	mm_mw_20190712_C1_n3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD033944/mm_mw_20190712_C1_n3.raw	1	6	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD033944-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	mm_mw_20190712_C5_n1	proteomic profiling by mass spectrometry	mm_mw_20190712_C5_n1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD033944/mm_mw_20190712_C5_n1.raw	1	7	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD033944-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	mm_mw_20190712_C3_n1	proteomic profiling by mass spectrometry	mm_mw_20190712_C3_n1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD033944/mm_mw_20190712_C3_n1.raw	1	8	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD033944-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	mm_mw_20190712_C5_n3	proteomic profiling by mass spectrometry	mm_mw_20190712_C5_n3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD033944/mm_mw_20190712_C5_n3.raw	1	9	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD033944-Sample-1	Homo sapiens	Permanent cell line cell	HCT116	epithelial	colorectal cancer	1	mm_mw_20190712_C5_n4	proteomic profiling by mass spectrometry	mm_mw_20190712_C5_n4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD033944/mm_mw_20190712_C5_n4.raw	1	10	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000133;NT=CID	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
